가이드연도,순위,학교,영문명,지역,IELTS,TOPIK,자체시험,등록금최소,등록금최대,데이터사이언스학과,장학금,모집기간(요강에서 확인),비고
2027,,국립경국대학교,KNUG University,경상북도,,3,,1690000,2300000,컴퓨터공학전공 (Computer Engineering Major) / 소프트웨어융합전공 (Software Convergence Major) / 데이터과학전공 (Data Science Major) / 디지털ICT공학전공 (Major in Digital ICT Engineering),GKNU Talented Scholarship: TOPIK TOPIK 3급 이상 (신입 2개 학기/편입 1개 학기)→학기당 100만원 / 입학장학금: TOPIK TOPIK 3급 이상→등록금 22%,"2026. 12. 4, 2027. 6. 4 | 1. 원서접수 일정 가. 접수기간: 각 전형별 접수일정에 따름 나. 접수방법: 방문 접수만 가능 - 입학원서는 직접 제출함을 원칙으로 합니다. 단, 부득이한 사정으로 우편 송부하고자 할 경우는 제출서류를 동봉하여 각 전형별 마감일 17:00까지 우리 대학 도착분에 한하여 접수합니다. ※우편 제출의 경우 서류접수 마감일 우체국 소인분까지 인정함 ※ 3월 입학",adiga 외국인 2027 PDF
2027,,국립창원대학교,CWNU University,경상남도,,3,,,,통계학과 (Department of Statistics) / 산업시스템공학과 (Department of Industrial Systems Engineering) / 컴퓨터공학과 (Department of Computer Engineering) / 정보통신공학과 (Department of Information and Communication Engineering) / 산업디자인학과 (Department of Industrial Design),"한국어능력시험 우수 장학금: TOPIK 4급→250,000원 (외 2단계)","2026.11.2, 11.13, 2026.11.2 | 합격자등록 원서접수 서류제출 전기 (3월) 2026.11.2.(월) ~ 11.13.(금) 2026.11.2.(월)",adiga 외국인 2027 PDF
2027,,단국대학교,Dankook University,경기도,5.5,3,Y,4230000,6799000,소프트웨어학과 (Department of Software) / 컴퓨터공학과 (Department of Computer Engineering) / 통계데이터사이언스학과 (Department of Statistics and Data Science) / 동양화전공 (Major in Oriental Painting) / 서양화전공 (Western Painting Major),신·편입생 장학금(한국어트랙): TOPIK 6→수업료의 60%(4년)+생활관비 (외 2단계) / 신입생 장학금(영어트랙 공인영어성적): TOEFL iBT 71 이상→수업료 50% 면제(1학기) (외 7단계),1. 20 | 01 전형일정 1. 2027학년도 전기(1차 및 2차) 구분 일정 전기 1차 전기 2차,adiga 외국인 2027 PDF
2027,,덕성여자대학교,Duksung University,서울특별시,,3,,3564000,4992000,데이터사이언스학과 (Department of Data Science) / AI신약학과 (Department of AI New Drug Discovery) / 디지털소프트웨어공학부 (School of Digital Software Engineering) / 정보통계학전공 (Information Statistics Major) / 동양화전공 (Major in Oriental Painting) / 서양화전공 (Western Painting Major),지구촌외국인장려장학금: TOPIK 6→수업료 100% 감면 (외 2단계) / 지구촌외국인장려장학금: TOPIK 5~6→수업료 100% 감면 (외 2단계),2026. 10. 12 | Ⅱ. 전형일정 1. 전형일정 (한국 표준시 KST 기준) 구분 전기 1차 전기 2차 온라인 접수 2026. 10. 12.(월) 10:00,adiga 외국인 2027 PDF
2027,,목원대학교,Mokwon University,대전광역시,5.5,3,Y,,,마케팅빅데이터학과 (Department of Marketing and Big Data) / -한국화전공 (Korean Painting Major) / -서양화전공 (Western Painting Major) / 산업디자인학과 (Department of Industrial Design) / -컴퓨터공학전공 (Computer Engineering Major) / -AI실감콘텐츠전공 (AI Immersive Content Major) / -사이버보안전공 (Cybersecurity Major),입학장학금(B): TOPIK 3급 이상(예·체능 2급)→등록금 20% 감면 (외 2단계) / 입학장학금(B): TOPIK 3급 이상(예·체능 2급)→등록금 20% 감면 (외 2단계),1. 20 |  1. 2027학년도 전형일정 2. 주요사항 및 유의사항 3. 모집단위 및 모집인원 4. 지원자격 및 심사기준 5. 학교폭력 조치사항 반영방법(신입학) 6. 제출서류,adiga 외국인 2027 PDF
2027,,배재대학교,Pai Chai University,대전광역시,5.5,2,Y,,,철도건설공학과 (Department of Railway Construction Engineering) / 소프트웨어공학부 (School of Software Engineering),정부초청장학생(GKS): 순수외국인 선발자 → 등록금·체재비 정부 전액지원 (별도 전형),"2026. 10. 16, 10. 22 | 구분 추진일정 주요내용 원서접수 2026. 10. 16.(금) ~ 10. 22.(목) 17:00까지 (인터넷 접수만 시행) - 인터넷 접수(유웨이어플라이)",adiga 외국인 2027 PDF
2027,,서울여자대학교,SWU University,서울특별시,,3,,3827000,5285000,"지능정보보호학부 (School of Intelligent Information Security) / 사이버보안전공 (Cybersecurity Major) / 소프트웨어학과 (Department of Software) / 데이터사이언스학과 (Department of Data Science) / 산업디자인학과 (Department of Industrial Design) / 정보보호학과 (Department of Information Security) / 글로벌ICT인문융합학부(신설)-메타버스융합콘텐츠전공 (School of Global ICT and Humanities Convergence (New), Metaverse Convergence Content Major) / 글로벌ICT인문융합학부(신설)-프랑스문화콘텐츠전공 (School of Global ICT and Humanities Convergence (New), French Culture Content Major)",외국인 입학장학금 (TOPIK 급수별): TOPIK 3~4급→수업료 70% 감면 (외 1단계) / 외국인 입학장학금 (TOPIK 급수별): TOPIK 3급→수업료 30% 감면 (외 3단계),"2026.10.8, 10.22, 2026.12.22 | 인터넷 원서접수 2026.10.8.(목) 10:00 ~ 10.22.(목) 17:00 2026.12.22.(화) 10:00 ~ 2027.1.5.(화) 17:00 ■ 원서접수는 인터넷 접수만 실시함",adiga 외국인 2027 PDF
2027,,영남대학교,Yeungnam University,경상북도,,3,Y,3450000,5488400,산업디자인학과 (Department of Industrial Design),신입생 외국인 장학금: TOPIK 5급 이상→수업료 100% 면제 (외 2단계),"2026.10.12, 11.13(금), 2026.12.09 | (isa.yu.ac.kr) 참고 ·원서접수: www.uwayapply.com 서류 접수 (방문/우편) 2026.10.12.(월)~11.13(금) 2026.12.09.(수)~2027.01.08.(금) 서류 방문 또는 우편 제출",adiga 외국인 2027 PDF
2027,,우송대학교,Woosong University,대전광역시,5.5,3,,,,철도건설시스템학부 (School of Railway Construction Systems) / 철도건설시스템전공 (Railway Construction Systems Major) / 철도전기시스템전공 (Railway Electrical Systems Major) / 철도소프트웨어전공 (Railway Software Major) / 철도차량시스템학과 (Department of Railway Rolling Stock Systems) / 철도자율전공학부 (School of Open-Major Railway Studies) / 게임소프트웨어전공 (Game Software Major) / 컴퓨터·소프트웨어전공 (Computer and Software Major),외국어 성적우수자 특별장학금: TOEFL IBT 85점 이상→4년간 수업료 전액 감면 (외 2단계) / 외국어 성적우수자 특별장학금: TOEFL IBT 85점 이상→4년간 수업료 전액 감면 (외 2단계),2026. 7. 16 | 2026. 7. 16.(목) 세부 일정 추후 홈페이지 공고 합  격 ,adiga 외국인 2027 PDF
2027,,을지대학교,Eulji University,대전광역시,5.5,3,Y,,,빅데이터인공지능전공 (Big Data and Artificial Intelligence Major) / 중독상담전공 (Addiction Counseling Major),"외국인유학생 장학금:  →직전학기 성적 및 어학성적 기반 선발: 학비 20%~100% 차등 지급 / 순수 외국인 입학자 장학금:  →전 학년(4년간) 수업료 지원 (성적에 따른 차등지급, 직전학기 성적 2.0 이상)","2026.9.7, 9.11(금) | 구분 일정 세부내용 원서접수 2026.9.7.(월) ~ 9.11(금) 18:00까지 - 온라인 원서접수(우편 및 방문접수 미실시)",adiga 외국인 2027 PDF
2027,,인제대학교,Inje University,경상남도,5.5,3,Y,,,AI컴퓨터학과 (Department of AI Computers),입학 장학금 A형: TOPIK 4급 이상→등록금 100% 감면 (외 2단계) / 입학 장학금 B형: TOPIK 6급→등록금 100% 감면 (외 3단계),"2026.9.7, 9.11(금) | - 2 - 2. 전형일정 구    분 일    시 비   고 원 서 접 수 2026.9.7.(월) ~ 9.11(금)",adiga 외국인 2027 PDF
2027,,제주대학교,Jeju University,제주특별자치도,,3,Y,1920000,2564000,산업응용경제학과 (Department of Industrial and Applied Economics) / 인공지능학과 (Department of Artificial Intelligence) / 공업디자인전공 (Industrial Design Major) / 데이터사이언스학과 (Department of Data Science) / 컴퓨터공학과 (Department of Computer Engineering) / 인공지능전공 (Artificial Intelligence Major),유학생 장학금 (A급/E급): TOPIK 5급 이상→등록금 전액 면제 (A급) (외 1단계),"2026. 10. 5, 10. 23 | 구 분 전형 일정 전기 (1차) 원서접수 2026. 10. 5.(월) ~ 10. 23.(금) 지원서류 제출",adiga 외국인 2027 PDF
2027,,평택대학교,Pyeongtaek University,경기도,5.5,2,,3532000,4593000,융합소프트웨어학과 (Department of Convergence Software) / 정보통신학과 (Department of Information and Communication) / 데이터정보학과 (Department of Data and Information Science) / ICT융합학부 (School of ICT Convergence) / ICT환경융합학과 (Department of ICT Environment Convergence) / AI융합학과 (Department of AI Convergence),외국인 특별전형 합격자 첫 학기 장학금: TOPIK 6급→수업료 100% (외 9단계) / 외국인 특별전형 합격자 첫 학기 장학금(대학원): TOPIK 6급→수업료 100% (외 8단계),"2025.11.10, 2025.12.19 | - 2 - 1. 전형일정 구분 일정 비고 입학원서 및 서류접수 2025.11.10.(월) ~ 2025.12.19.(금)",adiga 외국인 2027 PDF
2027,,한서대학교,Hanseo University,충청남도,5.5,3,,,,헬리콥터조종학과 (Department of Helicopter Pilot Training) / 항공정비학과 (Department of Aircraft Maintenance) / 항공산업공학과 (Department of Aviation Industrial Engineering) / 공항행정학과 (Department of Airport Administration) / AI·SW학부 (School of AI and Software) / 항공AI소프트웨어학과 (Department of Aviation AI Software) / AI로보틱스학과 (Department of AI Robotics) / AI모빌리티학과 (Department of AI Mobility),"외국인 유학생 장학금(TOPIK):  →300,000원 (1학기, 재학 중 1회)","2026.12.14(월) ~ 12.18(금), 2027.06.21(월) ~ 06.25(금), 2027.01.14(목) | 2학기 원서접수 2026.12.14(월) ~ 12.18(금) 2027.06.21(월) ~ 06.25(금) 합격자발표 2027.01.14(목) 2027.07.15(목)",adiga 외국인 2027 PDF
